in s4 s3 s2 s1 s0 r4 r3 r2 r1 r0 out
0 0 0 0 0 0 0 1 2 3 4 0
1 0 0 0 0 0 4 0 1 2 3 0
2 1 0 0 0 0 4 3 0 1 2 0
1 2 1 0 0 0 4 3 2 0 1 0
3 1 2 1 0 0 3 4 2 1 0 1
2 3 1 2 1 0 4 2 3 1 0 1
2 2 3 1 2 1 3 4 1 2 0 2
2 2 2 3 1 2 3 2 4 0 1 2
2 2 2 2 3 1 3 2 1 4 0 2
1 2 2 2 2 3 3 2 1 0 4 2
0 1 2 2 2 2 0 4 3 2 1 2
0 0 1 2 2 2 0 1 4 3 2 2
1 0 0 1 2 2 1 0 2 4 3 1
1 1 0 0 1 2 3 1 0 2 4 1
2 1 1 0 0 1 4 3 1 0 2 1
2 2 1 1 0 0 4 3 2 1 0 1
0 2 2 1 1 0 4 3 2 1 0 1
2 0 2 2 1 1 0 4 3 2 1 1

tests/tb_rank_order.v:48: $finish called at 361 (1s)
